Event_Name,Tweet_Timestamp,Hour,Count,Day
Cisco Live,10/28/2022 18:00,18,0,10/28/2022
Cisco Live,10/29/2022 18:00,18,0,10/29/2022
Cisco Live,10/30/2022 18:00,18,0,10/30/2022
Cisco Live,10/31/2022 18:00,18,0,10/31/2022
Cisco Live,11/1/2022 18:00,18,0,11/1/2022
Commonwealth Games,10/29/2022 18:00,18,0,10/29/2022
Commonwealth Games,10/30/2022 18:00,18,0,10/30/2022
European Elections,10/19/2022 18:00,18,0,10/19/2022
European Elections,10/20/2022 18:00,18,0,10/20/2022
European Elections,10/21/2022 18:00,18,0,10/21/2022
European Elections,10/22/2022 18:00,18,0,10/22/2022
European Elections,10/23/2022 18:00,18,0,10/23/2022
FIFA World Cup,10/18/2022 18:00,18,0,10/18/2022
FIFA World Cup,10/19/2022 18:00,18,0,10/19/2022
FIFA World Cup,10/20/2022 18:00,18,0,10/20/2022
FIFA World Cup,10/21/2022 18:00,18,0,10/21/2022
FIFA World Cup,10/22/2022 18:00,18,0,10/22/2022
FINA World Swimming Championships (25m),10/21/2022 18:00,18,0,10/21/2022
FINA World Swimming Championships (25m),10/22/2022 18:00,18,0,10/22/2022
FINA World Swimming Championships (25m),10/23/2022 18:00,18,0,10/23/2022
Football Match,10/29/2022 18:00,18,0,10/29/2022
Football Match,10/30/2022 18:00,18,0,10/30/2022
Global Climate change strike,10/31/2022 18:00,18,0,10/31/2022
Halloween Party,10/20/2022 18:00,18,0,10/20/2022
Halloween Party,10/21/2022 18:00,18,0,10/21/2022
Halloween Party,10/22/2022 18:00,18,0,10/22/2022
Halloween Party,10/23/2022 18:00,18,0,10/23/2022
Halloween Party,10/24/2022 18:00,18,0,10/24/2022
Halloween Party,10/25/2022 18:00,18,0,10/25/2022
Halloween Party,10/26/2022 18:00,18,0,10/26/2022
Halloween Party,10/27/2022 18:00,18,0,10/27/2022
Halloween Party,10/28/2022 18:00,18,0,10/28/2022
Halloween Party,10/29/2022 18:00,18,0,10/29/2022
ICML 2022 (Tech conference),10/18/2022 18:00,18,0,10/18/2022
ICML 2022 (Tech conference),10/19/2022 18:00,18,0,10/19/2022
ICML 2022 (Tech conference),10/20/2022 18:00,18,0,10/20/2022
ICML 2022 (Tech conference),10/21/2022 18:00,18,0,10/21/2022
ICML 2022 (Tech conference),10/22/2022 18:00,18,0,10/22/2022
ICML 2022 (Tech conference),10/23/2022 18:00,18,0,10/23/2022
ICML 2022 (Tech conference),10/24/2022 18:00,18,0,10/24/2022
ICML 2022 (Tech conference),10/25/2022 18:00,18,0,10/25/2022
ICML 2022 (Tech conference),10/26/2022 18:00,18,0,10/26/2022
ICML 2022 (Tech conference),10/27/2022 18:00,18,0,10/27/2022
Independence Day,10/18/2022 18:00,18,0,10/18/2022
Independence Day,10/19/2022 18:00,18,0,10/19/2022
Independence Day,10/20/2022 18:00,18,0,10/20/2022
Independence Day,10/21/2022 18:00,18,0,10/21/2022
Independence Day,10/22/2022 18:00,18,0,10/22/2022
Independence Day,10/23/2022 18:00,18,0,10/23/2022
Independence Day,10/24/2022 18:00,18,0,10/24/2022
Independence Day,10/25/2022 18:00,18,0,10/25/2022
Independence Day,10/26/2022 18:00,18,0,10/26/2022
Independence Day,10/27/2022 18:00,18,0,10/27/2022
Independence Day,10/28/2022 18:00,18,0,10/28/2022
Independence Day,10/29/2022 18:00,18,0,10/29/2022
Juneteenth,10/19/2022 18:00,18,0,10/19/2022
Juneteenth,10/20/2022 18:00,18,0,10/20/2022
Juneteenth,10/21/2022 18:00,18,0,10/21/2022
Juneteenth,10/22/2022 18:00,18,0,10/22/2022
Juneteenth,10/23/2022 18:00,18,0,10/23/2022
Juneteenth,10/24/2022 18:00,18,0,10/24/2022
Juneteenth,10/25/2022 18:00,18,0,10/25/2022
Juneteenth,10/26/2022 18:00,18,0,10/26/2022
Juneteenth,10/27/2022 18:00,18,0,10/27/2022
Juneteenth,10/28/2022 18:00,18,0,10/28/2022
Juneteenth,10/29/2022 18:00,18,0,10/29/2022
Juneteenth,10/30/2022 18:00,18,0,10/30/2022
Mecca Madina,10/25/2022 18:00,18,0,10/25/2022
Mecca Madina,10/26/2022 18:00,18,0,10/26/2022
Mecca Madina,10/27/2022 18:00,18,0,10/27/2022
Memorial Day,10/25/2022 18:00,18,0,10/25/2022
Memorial Day,10/26/2022 18:00,18,0,10/26/2022
Memorial Day,10/27/2022 18:00,18,0,10/27/2022
Memorial Day,10/28/2022 18:00,18,0,10/28/2022
Memorial Day,10/29/2022 18:00,18,0,10/29/2022
Memorial Day,10/30/2022 18:00,18,0,10/30/2022
Motor Traffic,10/24/2022 18:00,18,1,10/24/2022
Olympics 2023,10/21/2022 18:00,18,0,10/21/2022
Olympics 2023,10/22/2022 18:00,18,0,10/22/2022
Olympics 2023,10/23/2022 18:00,18,0,10/23/2022
Olympics 2023,10/24/2022 18:00,18,0,10/24/2022
Olympics 2023,10/25/2022 18:00,18,0,10/25/2022
Olympics 2023,10/26/2022 18:00,18,0,10/26/2022
Olympics 2023,10/27/2022 18:00,18,0,10/27/2022
Olympics 2023,10/28/2022 18:00,18,0,10/28/2022
Olympics 2023,10/29/2022 18:00,18,0,10/29/2022
Olympics 2023,10/30/2022 18:00,18,0,10/30/2022
Olympics 2023,10/31/2022 18:00,18,0,10/31/2022
Paris Strike,10/30/2022 18:00,18,1,10/30/2022
Skydiving,10/23/2022 18:00,18,0,10/23/2022
Skydiving,10/24/2022 18:00,18,0,10/24/2022
Skydiving,10/25/2022 18:00,18,0,10/25/2022
Skydiving,10/26/2022 18:00,18,0,10/26/2022
Skydiving,10/27/2022 18:00,18,0,10/27/2022
T20WorldCup2022,10/23/2022 18:00,18,0,10/23/2022
T20WorldCup2022,10/24/2022 18:00,18,0,10/24/2022
Thanks Giving 2022,10/18/2022 18:00,18,0,10/18/2022
Thanks Giving 2022,10/19/2022 18:00,18,0,10/19/2022
Thanks Giving 2022,10/20/2022 18:00,18,0,10/20/2022
Thanks Giving 2022,10/21/2022 18:00,18,0,10/21/2022
Thanks Giving 2022,10/22/2022 18:00,18,0,10/22/2022
Thanks Giving 2022,10/23/2022 18:00,18,0,10/23/2022
Thanks Giving 2022,10/24/2022 18:00,18,0,10/24/2022
Thanks Giving 2022,10/25/2022 18:00,18,0,10/25/2022
Thanks Giving 2022,10/26/2022 18:00,18,0,10/26/2022
Thanks Giving 2022,10/27/2022 18:00,18,0,10/27/2022
Thanks Giving 2022,10/28/2022 18:00,18,0,10/28/2022
Thanks Giving 2022,10/29/2022 18:00,18,0,10/29/2022
Thanks Giving 2022,10/30/2022 18:00,18,0,10/30/2022
Thanks Giving 2022,10/31/2022 18:00,18,1,10/31/2022
US Open,10/22/2022 18:00,18,0,10/22/2022
US Open,10/23/2022 18:00,18,0,10/23/2022
US Open,10/24/2022 18:00,18,0,10/24/2022
WAR campaign,10/20/2022 18:00,18,0,10/20/2022
Womens World Cup,10/19/2022 18:00,18,0,10/19/2022
Womens World Cup,10/20/2022 18:00,18,0,10/20/2022
Womens World Cup,10/21/2022 18:00,18,0,10/21/2022
Womens World Cup,10/22/2022 18:00,18,0,10/22/2022
Womens World Cup,10/23/2022 18:00,18,0,10/23/2022
Womens World Cup,10/24/2022 18:00,18,0,10/24/2022
Womens World Cup,10/25/2022 18:00,18,0,10/25/2022
World War 3 memorial meet,10/21/2022 18:00,18,1,10/21/2022
50 Year Anniversary of Pride March,10/27/2022 19:00,19,0,10/27/2022
50 Year Anniversary of Pride March,10/28/2022 19:00,19,0,10/28/2022
50 Year Anniversary of Pride March,10/29/2022 19:00,19,0,10/29/2022
50 Year Anniversary of Pride March,10/30/2022 19:00,19,0,10/30/2022
AZ election campaign,10/21/2022 19:00,19,0,10/21/2022
AZ election campaign,10/22/2022 19:00,19,0,10/22/2022
AZ election campaign,10/23/2022 19:00,19,0,10/23/2022
CES (Consumer Electronics Show),10/20/2022 19:00,19,0,10/20/2022
CES (Consumer Electronics Show),10/21/2022 19:00,19,0,10/21/2022
CES (Consumer Electronics Show),10/22/2022 19:00,19,0,10/22/2022
CES (Consumer Electronics Show),10/23/2022 19:00,19,0,10/23/2022
CES (Consumer Electronics Show),10/24/2022 19:00,19,0,10/24/2022
CES (Consumer Electronics Show),10/25/2022 19:00,19,0,10/25/2022
CES (Consumer Electronics Show),10/26/2022 19:00,19,0,10/26/2022
CES (Consumer Electronics Show),10/27/2022 19:00,19,0,10/27/2022
CES (Consumer Electronics Show),10/28/2022 19:00,19,0,10/28/2022
CES (Consumer Electronics Show),10/29/2022 19:00,19,0,10/29/2022
Christmas'22,10/24/2022 19:00,19,1,10/24/2022
Christmas'22,10/25/2022 19:00,19,0,10/25/2022
Christmas'22,10/26/2022 19:00,19,0,10/26/2022
Christmas'22,10/27/2022 19:00,19,0,10/27/2022
Christmas'22,10/28/2022 19:00,19,0,10/28/2022
Christmas'22,10/29/2022 19:00,19,0,10/29/2022
Christmas'22,10/30/2022 19:00,19,0,10/30/2022
Cisco Live,10/22/2022 19:00,19,0,10/22/2022
Cisco Live,10/23/2022 19:00,19,0,10/23/2022
Cisco Live,10/24/2022 19:00,19,0,10/24/2022
Cisco Live,10/25/2022 19:00,19,0,10/25/2022
Cisco Live,10/26/2022 19:00,19,0,10/26/2022
Cisco Live,10/27/2022 19:00,19,0,10/27/2022
Cisco Live,10/28/2022 19:00,19,0,10/28/2022
Cisco Live,10/29/2022 19:00,19,1,10/29/2022
Cisco Live,10/30/2022 19:00,19,0,10/30/2022
Cisco Live,10/31/2022 19:00,19,0,10/31/2022
Cisco Live,11/1/2022 19:00,19,1,11/1/2022
Commonwealth Games,10/29/2022 19:00,19,0,10/29/2022
Commonwealth Games,10/30/2022 19:00,19,0,10/30/2022
European Elections,10/19/2022 19:00,19,0,10/19/2022
European Elections,10/20/2022 19:00,19,0,10/20/2022
European Elections,10/21/2022 19:00,19,0,10/21/2022
European Elections,10/22/2022 19:00,19,0,10/22/2022
European Elections,10/23/2022 19:00,19,0,10/23/2022
FIFA World Cup,10/18/2022 19:00,19,0,10/18/2022
FIFA World Cup,10/19/2022 19:00,19,0,10/19/2022
FIFA World Cup,10/20/2022 19:00,19,0,10/20/2022
FIFA World Cup,10/21/2022 19:00,19,0,10/21/2022
FIFA World Cup,10/22/2022 19:00,19,0,10/22/2022
FINA World Swimming Championships (25m),10/21/2022 19:00,19,0,10/21/2022
FINA World Swimming Championships (25m),10/22/2022 19:00,19,0,10/22/2022
FINA World Swimming Championships (25m),10/23/2022 19:00,19,0,10/23/2022
Football Match,10/29/2022 19:00,19,0,10/29/2022
Football Match,10/30/2022 19:00,19,0,10/30/2022
Global Climate change strike,10/31/2022 19:00,19,0,10/31/2022
Halloween Party,10/20/2022 19:00,19,0,10/20/2022
Halloween Party,10/21/2022 19:00,19,0,10/21/2022
Halloween Party,10/22/2022 19:00,19,0,10/22/2022
Halloween Party,10/23/2022 19:00,19,0,10/23/2022
Halloween Party,10/24/2022 19:00,19,0,10/24/2022
Halloween Party,10/25/2022 19:00,19,0,10/25/2022
Halloween Party,10/26/2022 19:00,19,0,10/26/2022
Halloween Party,10/27/2022 19:00,19,0,10/27/2022
Halloween Party,10/28/2022 19:00,19,0,10/28/2022
Halloween Party,10/29/2022 19:00,19,0,10/29/2022
ICML 2022 (Tech conference),10/18/2022 19:00,19,0,10/18/2022
ICML 2022 (Tech conference),10/19/2022 19:00,19,0,10/19/2022
ICML 2022 (Tech conference),10/20/2022 19:00,19,0,10/20/2022
ICML 2022 (Tech conference),10/21/2022 19:00,19,0,10/21/2022
ICML 2022 (Tech conference),10/22/2022 19:00,19,0,10/22/2022
ICML 2022 (Tech conference),10/23/2022 19:00,19,0,10/23/2022
ICML 2022 (Tech conference),10/24/2022 19:00,19,0,10/24/2022
ICML 2022 (Tech conference),10/25/2022 19:00,19,0,10/25/2022
ICML 2022 (Tech conference),10/26/2022 19:00,19,0,10/26/2022
ICML 2022 (Tech conference),10/27/2022 19:00,19,0,10/27/2022
Independence Day,10/18/2022 19:00,19,0,10/18/2022
Independence Day,10/19/2022 19:00,19,0,10/19/2022
Independence Day,10/20/2022 19:00,19,0,10/20/2022
Independence Day,10/21/2022 19:00,19,0,10/21/2022
Independence Day,10/22/2022 19:00,19,0,10/22/2022
Independence Day,10/23/2022 19:00,19,0,10/23/2022
Independence Day,10/24/2022 19:00,19,0,10/24/2022
Independence Day,10/25/2022 19:00,19,0,10/25/2022
Independence Day,10/26/2022 19:00,19,0,10/26/2022
Independence Day,10/27/2022 19:00,19,0,10/27/2022
Independence Day,10/28/2022 19:00,19,0,10/28/2022
Independence Day,10/29/2022 19:00,19,0,10/29/2022
Juneteenth,10/19/2022 19:00,19,0,10/19/2022
Juneteenth,10/20/2022 19:00,19,0,10/20/2022
Juneteenth,10/21/2022 19:00,19,0,10/21/2022
Juneteenth,10/22/2022 19:00,19,0,10/22/2022
Juneteenth,10/23/2022 19:00,19,0,10/23/2022
Juneteenth,10/24/2022 19:00,19,0,10/24/2022
Juneteenth,10/25/2022 19:00,19,0,10/25/2022
Juneteenth,10/26/2022 19:00,19,0,10/26/2022
Juneteenth,10/27/2022 19:00,19,0,10/27/2022
Juneteenth,10/28/2022 19:00,19,0,10/28/2022
Juneteenth,10/29/2022 19:00,19,0,10/29/2022
Juneteenth,10/30/2022 19:00,19,1,10/30/2022
Kannan Gill - Standup,10/23/2022 19:00,19,1,10/23/2022
Mecca Madina,10/25/2022 19:00,19,0,10/25/2022
Mecca Madina,10/26/2022 19:00,19,0,10/26/2022
Mecca Madina,10/27/2022 19:00,19,0,10/27/2022
Memorial Day,10/25/2022 19:00,19,0,10/25/2022
Memorial Day,10/26/2022 19:00,19,0,10/26/2022
Memorial Day,10/27/2022 19:00,19,0,10/27/2022
Memorial Day,10/28/2022 19:00,19,0,10/28/2022
Memorial Day,10/29/2022 19:00,19,0,10/29/2022
Memorial Day,10/30/2022 19:00,19,0,10/30/2022
Olympics 2023,10/21/2022 19:00,19,0,10/21/2022
Olympics 2023,10/22/2022 19:00,19,0,10/22/2022
Olympics 2023,10/23/2022 19:00,19,0,10/23/2022
Olympics 2023,10/24/2022 19:00,19,0,10/24/2022
Olympics 2023,10/25/2022 19:00,19,0,10/25/2022
Olympics 2023,10/26/2022 19:00,19,0,10/26/2022
Olympics 2023,10/27/2022 19:00,19,0,10/27/2022
Olympics 2023,10/28/2022 19:00,19,0,10/28/2022
Olympics 2023,10/29/2022 19:00,19,0,10/29/2022
Olympics 2023,10/30/2022 19:00,19,0,10/30/2022
Olympics 2023,10/31/2022 19:00,19,0,10/31/2022
Skydiving,10/23/2022 19:00,19,0,10/23/2022
Skydiving,10/24/2022 19:00,19,0,10/24/2022
Skydiving,10/25/2022 19:00,19,0,10/25/2022
Skydiving,10/26/2022 19:00,19,0,10/26/2022
Skydiving,10/27/2022 19:00,19,0,10/27/2022
T20WorldCup2022,10/22/2022 19:00,19,1,10/22/2022
T20WorldCup2022,10/23/2022 19:00,19,0,10/23/2022
T20WorldCup2022,10/24/2022 19:00,19,0,10/24/2022
Thanks Giving 2022,10/18/2022 19:00,19,0,10/18/2022
Thanks Giving 2022,10/19/2022 19:00,19,0,10/19/2022
Thanks Giving 2022,10/20/2022 19:00,19,0,10/20/2022
Thanks Giving 2022,10/21/2022 19:00,19,0,10/21/2022
Thanks Giving 2022,10/22/2022 19:00,19,0,10/22/2022
Thanks Giving 2022,10/23/2022 19:00,19,0,10/23/2022
Thanks Giving 2022,10/24/2022 19:00,19,0,10/24/2022
Thanks Giving 2022,10/25/2022 19:00,19,1,10/25/2022
Thanks Giving 2022,10/26/2022 19:00,19,0,10/26/2022
Thanks Giving 2022,10/27/2022 19:00,19,0,10/27/2022
Thanks Giving 2022,10/28/2022 19:00,19,0,10/28/2022
Thanks Giving 2022,10/29/2022 19:00,19,0,10/29/2022
Thanks Giving 2022,10/30/2022 19:00,19,0,10/30/2022
US Open,10/22/2022 19:00,19,0,10/22/2022
US Open,10/23/2022 19:00,19,0,10/23/2022
US Open,10/24/2022 19:00,19,0,10/24/2022
WAR campaign,10/20/2022 19:00,19,0,10/20/2022
Womens World Cup,10/19/2022 19:00,19,0,10/19/2022
Womens World Cup,10/20/2022 19:00,19,0,10/20/2022
Womens World Cup,10/21/2022 19:00,19,0,10/21/2022
Womens World Cup,10/22/2022 19:00,19,0,10/22/2022
Womens World Cup,10/23/2022 19:00,19,0,10/23/2022
Womens World Cup,10/24/2022 19:00,19,0,10/24/2022
Womens World Cup,10/25/2022 19:00,19,0,10/25/2022
50 Year Anniversary of Pride March,10/27/2022 20:00,20,0,10/27/2022
50 Year Anniversary of Pride March,10/28/2022 20:00,20,0,10/28/2022
50 Year Anniversary of Pride March,10/29/2022 20:00,20,0,10/29/2022
50 Year Anniversary of Pride March,10/30/2022 20:00,20,0,10/30/2022
AZ election campaign,10/21/2022 20:00,20,0,10/21/2022
AZ election campaign,10/22/2022 20:00,20,0,10/22/2022
AZ election campaign,10/23/2022 20:00,20,0,10/23/2022
CES (Consumer Electronics Show),10/20/2022 20:00,20,0,10/20/2022
CES (Consumer Electronics Show),10/21/2022 20:00,20,0,10/21/2022
CES (Consumer Electronics Show),10/22/2022 20:00,20,0,10/22/2022
CES (Consumer Electronics Show),10/23/2022 20:00,20,0,10/23/2022
CES (Consumer Electronics Show),10/24/2022 20:00,20,0,10/24/2022
CES (Consumer Electronics Show),10/25/2022 20:00,20,0,10/25/2022
CES (Consumer Electronics Show),10/26/2022 20:00,20,0,10/26/2022
CES (Consumer Electronics Show),10/27/2022 20:00,20,0,10/27/2022
CES (Consumer Electronics Show),10/28/2022 20:00,20,0,10/28/2022
CES (Consumer Electronics Show),10/29/2022 20:00,20,0,10/29/2022
Christmas Day 2022,10/20/2022 20:00,20,1,10/20/2022
Christmas'22,10/24/2022 20:00,20,0,10/24/2022
Christmas'22,10/25/2022 20:00,20,0,10/25/2022
Christmas'22,10/26/2022 20:00,20,1,10/26/2022
Christmas'22,10/27/2022 20:00,20,0,10/27/2022
Christmas'22,10/28/2022 20:00,20,0,10/28/2022
Christmas'22,10/29/2022 20:00,20,0,10/29/2022
Christmas'22,10/30/2022 20:00,20,0,10/30/2022
Cisco Live,10/22/2022 20:00,20,0,10/22/2022
Cisco Live,10/23/2022 20:00,20,0,10/23/2022
Cisco Live,10/24/2022 20:00,20,0,10/24/2022
Cisco Live,10/25/2022 20:00,20,0,10/25/2022
Cisco Live,10/26/2022 20:00,20,0,10/26/2022
Cisco Live,10/27/2022 20:00,20,0,10/27/2022
Cisco Live,10/28/2022 20:00,20,0,10/28/2022
Cisco Live,10/29/2022 20:00,20,0,10/29/2022
Cisco Live,10/30/2022 20:00,20,0,10/30/2022
Cisco Live,10/31/2022 20:00,20,0,10/31/2022
Commonwealth Games,10/29/2022 20:00,20,0,10/29/2022
Commonwealth Games,10/30/2022 20:00,20,0,10/30/2022
EdTech Summit,10/19/2022 20:00,20,1,10/19/2022
European Elections,10/19/2022 20:00,20,0,10/19/2022
European Elections,10/20/2022 20:00,20,0,10/20/2022
European Elections,10/21/2022 20:00,20,0,10/21/2022
European Elections,10/22/2022 20:00,20,0,10/22/2022
European Elections,10/23/2022 20:00,20,0,10/23/2022
FIFA World Cup,10/18/2022 20:00,20,0,10/18/2022
FIFA World Cup,10/19/2022 20:00,20,0,10/19/2022
FIFA World Cup,10/20/2022 20:00,20,0,10/20/2022
FIFA World Cup,10/21/2022 20:00,20,0,10/21/2022
FIFA World Cup,10/22/2022 20:00,20,0,10/22/2022
FINA World Swimming Championships (25m),10/21/2022 20:00,20,0,10/21/2022
FINA World Swimming Championships (25m),10/22/2022 20:00,20,0,10/22/2022
FINA World Swimming Championships (25m),10/23/2022 20:00,20,0,10/23/2022
Football Match,10/29/2022 20:00,20,0,10/29/2022
Football Match,10/30/2022 20:00,20,0,10/30/2022
Global Climate change strike,10/31/2022 20:00,20,0,10/31/2022
Halloween Party,10/20/2022 20:00,20,0,10/20/2022
Halloween Party,10/21/2022 20:00,20,0,10/21/2022
Halloween Party,10/22/2022 20:00,20,0,10/22/2022
Halloween Party,10/23/2022 20:00,20,0,10/23/2022
Halloween Party,10/24/2022 20:00,20,0,10/24/2022
Halloween Party,10/25/2022 20:00,20,0,10/25/2022
Halloween Party,10/26/2022 20:00,20,0,10/26/2022
Halloween Party,10/27/2022 20:00,20,0,10/27/2022
Halloween Party,10/28/2022 20:00,20,0,10/28/2022
Halloween Party,10/29/2022 20:00,20,0,10/29/2022
ICML 2022 (Tech conference),10/18/2022 20:00,20,0,10/18/2022
ICML 2022 (Tech conference),10/19/2022 20:00,20,0,10/19/2022
ICML 2022 (Tech conference),10/20/2022 20:00,20,0,10/20/2022
ICML 2022 (Tech conference),10/21/2022 20:00,20,0,10/21/2022
ICML 2022 (Tech conference),10/22/2022 20:00,20,0,10/22/2022
ICML 2022 (Tech conference),10/23/2022 20:00,20,0,10/23/2022
ICML 2022 (Tech conference),10/24/2022 20:00,20,0,10/24/2022
ICML 2022 (Tech conference),10/25/2022 20:00,20,0,10/25/2022
ICML 2022 (Tech conference),10/26/2022 20:00,20,0,10/26/2022
ICML 2022 (Tech conference),10/27/2022 20:00,20,0,10/27/2022
Independence Day,10/18/2022 20:00,20,0,10/18/2022
Independence Day,10/19/2022 20:00,20,0,10/19/2022
Independence Day,10/20/2022 20:00,20,0,10/20/2022
Independence Day,10/21/2022 20:00,20,0,10/21/2022
Independence Day,10/22/2022 20:00,20,0,10/22/2022
Independence Day,10/23/2022 20:00,20,0,10/23/2022
Independence Day,10/24/2022 20:00,20,0,10/24/2022
Independence Day,10/25/2022 20:00,20,0,10/25/2022
Independence Day,10/26/2022 20:00,20,0,10/26/2022
Independence Day,10/27/2022 20:00,20,0,10/27/2022
Independence Day,10/28/2022 20:00,20,0,10/28/2022
Independence Day,10/29/2022 20:00,20,0,10/29/2022
Juneteenth,10/19/2022 20:00,20,0,10/19/2022
Juneteenth,10/20/2022 20:00,20,0,10/20/2022
Juneteenth,10/21/2022 20:00,20,0,10/21/2022
Juneteenth,10/22/2022 20:00,20,0,10/22/2022
Juneteenth,10/23/2022 20:00,20,0,10/23/2022
Juneteenth,10/24/2022 20:00,20,0,10/24/2022
Juneteenth,10/25/2022 20:00,20,0,10/25/2022
Juneteenth,10/26/2022 20:00,20,0,10/26/2022
Juneteenth,10/27/2022 20:00,20,0,10/27/2022
Juneteenth,10/28/2022 20:00,20,0,10/28/2022
Juneteenth,10/29/2022 20:00,20,0,10/29/2022
Mecca Madina,10/25/2022 20:00,20,0,10/25/2022
Mecca Madina,10/26/2022 20:00,20,0,10/26/2022
Mecca Madina,10/27/2022 20:00,20,0,10/27/2022
Memorial Day,10/25/2022 20:00,20,0,10/25/2022
Memorial Day,10/26/2022 20:00,20,0,10/26/2022
Memorial Day,10/27/2022 20:00,20,0,10/27/2022
Memorial Day,10/28/2022 20:00,20,0,10/28/2022
Memorial Day,10/29/2022 20:00,20,0,10/29/2022
Memorial Day,10/30/2022 20:00,20,0,10/30/2022
Olympics 2023,10/21/2022 20:00,20,0,10/21/2022
Olympics 2023,10/22/2022 20:00,20,0,10/22/2022
Olympics 2023,10/23/2022 20:00,20,0,10/23/2022
Olympics 2023,10/24/2022 20:00,20,0,10/24/2022
Olympics 2023,10/25/2022 20:00,20,0,10/25/2022
Olympics 2023,10/26/2022 20:00,20,0,10/26/2022
Olympics 2023,10/27/2022 20:00,20,0,10/27/2022
Olympics 2023,10/28/2022 20:00,20,0,10/28/2022
Olympics 2023,10/29/2022 20:00,20,0,10/29/2022
Olympics 2023,10/30/2022 20:00,20,0,10/30/2022
Olympics 2023,10/31/2022 20:00,20,0,10/31/2022
Platinum Jubilee Bank Holiday,10/18/2022 20:00,20,1,10/18/2022
Skydiving,10/23/2022 20:00,20,0,10/23/2022
Skydiving,10/24/2022 20:00,20,0,10/24/2022
Skydiving,10/25/2022 20:00,20,0,10/25/2022
Skydiving,10/26/2022 20:00,20,0,10/26/2022
Skydiving,10/27/2022 20:00,20,0,10/27/2022
T20WorldCup2022,10/22/2022 20:00,20,0,10/22/2022
T20WorldCup2022,10/23/2022 20:00,20,0,10/23/2022
T20WorldCup2022,10/24/2022 20:00,20,0,10/24/2022
Thanks Giving 2022,10/18/2022 20:00,20,0,10/18/2022
Thanks Giving 2022,10/19/2022 20:00,20,0,10/19/2022
Thanks Giving 2022,10/20/2022 20:00,20,0,10/20/2022
Thanks Giving 2022,10/21/2022 20:00,20,0,10/21/2022
Thanks Giving 2022,10/22/2022 20:00,20,0,10/22/2022
Thanks Giving 2022,10/23/2022 20:00,20,0,10/23/2022
Thanks Giving 2022,10/24/2022 20:00,20,0,10/24/2022
Thanks Giving 2022,10/25/2022 20:00,20,0,10/25/2022
Thanks Giving 2022,10/26/2022 20:00,20,0,10/26/2022
Thanks Giving 2022,10/27/2022 20:00,20,0,10/27/2022
Thanks Giving 2022,10/28/2022 20:00,20,0,10/28/2022
Thanks Giving 2022,10/29/2022 20:00,20,0,10/29/2022
Thanks Giving 2022,10/30/2022 20:00,20,0,10/30/2022
US Open,10/22/2022 20:00,20,0,10/22/2022
US Open,10/23/2022 20:00,20,1,10/23/2022
US Open,10/24/2022 20:00,20,0,10/24/2022
WAR campaign,10/20/2022 20:00,20,0,10/20/2022
Womens World Cup,10/19/2022 20:00,20,0,10/19/2022
Womens World Cup,10/20/2022 20:00,20,0,10/20/2022
Womens World Cup,10/21/2022 20:00,20,0,10/21/2022
Womens World Cup,10/22/2022 20:00,20,0,10/22/2022
Womens World Cup,10/23/2022 20:00,20,0,10/23/2022
Womens World Cup,10/24/2022 20:00,20,0,10/24/2022
Womens World Cup,10/25/2022 20:00,20,0,10/25/2022
50 Year Anniversary of Pride March,10/27/2022 21:00,21,0,10/27/2022
50 Year Anniversary of Pride March,10/28/2022 21:00,21,0,10/28/2022
50 Year Anniversary of Pride March,10/29/2022 21:00,21,0,10/29/2022
50 Year Anniversary of Pride March,10/30/2022 21:00,21,0,10/30/2022
AZ election campaign,10/21/2022 21:00,21,0,10/21/2022
AZ election campaign,10/22/2022 21:00,21,0,10/22/2022
AZ election campaign,10/23/2022 21:00,21,0,10/23/2022
CES (Consumer Electronics Show),10/20/2022 21:00,21,0,10/20/2022
CES (Consumer Electronics Show),10/21/2022 21:00,21,0,10/21/2022
CES (Consumer Electronics Show),10/22/2022 21:00,21,0,10/22/2022
CES (Consumer Electronics Show),10/23/2022 21:00,21,0,10/23/2022
CES (Consumer Electronics Show),10/24/2022 21:00,21,0,10/24/2022
CES (Consumer Electronics Show),10/25/2022 21:00,21,0,10/25/2022
CES (Consumer Electronics Show),10/26/2022 21:00,21,0,10/26/2022
CES (Consumer Electronics Show),10/27/2022 21:00,21,0,10/27/2022
CES (Consumer Electronics Show),10/28/2022 21:00,21,0,10/28/2022
CES (Consumer Electronics Show),10/29/2022 21:00,21,0,10/29/2022
Champions League,10/23/2022 21:00,21,1,10/23/2022
China town Traffic,10/27/2022 21:00,21,1,10/27/2022
Christmas'22,10/24/2022 21:00,21,0,10/24/2022
Christmas'22,10/25/2022 21:00,21,0,10/25/2022
Christmas'22,10/26/2022 21:00,21,0,10/26/2022
Christmas'22,10/27/2022 21:00,21,0,10/27/2022
Christmas'22,10/28/2022 21:00,21,0,10/28/2022
Christmas'22,10/29/2022 21:00,21,0,10/29/2022
Christmas'22,10/30/2022 21:00,21,0,10/30/2022
Cisco Live,10/22/2022 21:00,21,0,10/22/2022
Cisco Live,10/23/2022 21:00,21,0,10/23/2022
Cisco Live,10/24/2022 21:00,21,0,10/24/2022
Cisco Live,10/25/2022 21:00,21,0,10/25/2022
Cisco Live,10/26/2022 21:00,21,0,10/26/2022
Cisco Live,10/27/2022 21:00,21,0,10/27/2022
